"ID_LOZKA","ID_MIESTNOSTI"
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,3
12,3
13,3
14,3
15,3
16,5
17,5
18,5
19,5
20,6
21,6
22,6
23,6
24,7
25,7
26,7
27,7
28,8
29,8
30,8
31,8
32,11
33,11
34,11
35,11
36,11
37,11
38,12
39,12
40,12
41,12
42,12
43,12
44,14
45,14
46,15
47,15
48,18
49,18
50,18
51,18
52,18
53,18
54,19
55,19
56,19
57,19
58,19
59,19
60,21
61,21
62,21
63,21
64,21
65,21
66,22
67,22
68,22
69,22
70,22
71,22
72,23
73,23
74,23
75,23
76,23
77,23
78,24
79,24
80,24
81,24
82,24
83,24
84,26
85,26
86,26
87,27
88,27
89,27
90,28
91,28
92,28
93,29
94,29
95,29
96,31
97,31
98,31
99,31
100,31
101,32
102,32
103,32
104,32
105,32
106,35
107,35
108,35
109,36
110,36
111,36
112,37
113,37
114,37
115,38
116,38
117,38
118,41
119,41
120,41
121,42
122,42
123,42
124,43
125,43
126,43
127,46
128,46
129,46
130,47
131,47
132,47
133,48
134,48
135,48
136,49
137,49
138,49
139,51
140,51
141,51
142,52
143,52
144,52
145,53
146,53
147,53
148,56
149,56
150,57
151,57
152,59
153,59
154,59
155,59
156,60
157,60
158,60
159,60
160,63
161,63
162,63
163,64
164,64
165,64
166,65
167,65
168,65
169,66
170,66
171,66
172,68
173,68
174,68
175,68
176,69
177,69
178,69
179,69
180,70
181,70
182,70
183,70
184,73
185,73
186,73
187,73
188,74
189,74
190,74
191,74
192,75
193,75
194,75
195,75
196,76
197,76
198,76
199,76
200,79
201,79
202,79
203,79
204,79
205,79
206,80
207,80
208,80
209,80
210,80
211,80
212,81
213,81
214,81
215,81
216,81
217,81
218,82
219,82
220,82
221,82
222,82
223,82
224,84
225,84
226,84
227,85
228,85
229,85
230,88
231,88
232,88
233,88
234,88
235,89
236,89
237,89
238,89
239,89
240,92
241,92
242,92
243,93
244,93
245,93
246,94
247,94
248,94
249,97
250,97
251,97
252,97
253,97
254,98
255,98
256,98
257,98
258,98
259,99
260,99
261,99
262,99
263,99
264,100
265,100
266,100
267,100
268,100
269,103
270,103
271,103
272,103
273,104
274,104
275,104
276,104
277,106
278,106
279,106
280,106
281,106
282,106
283,107
284,107
285,107
286,107
287,107
288,107
289,108
290,108
291,108
292,108
293,108
294,108
295,109
296,109
297,109
298,109
299,109
300,109
301,111
302,111
303,111
304,111
305,111
306,112
307,112
308,112
309,112
310,112
311,113
312,113
313,113
314,113
315,113
316,116
317,116
318,116
319,117
320,117
321,117
322,120
323,120
324,120
325,121
326,121
327,121
328,122
329,122
330,122
331,123
332,123
333,123
334,126
335,126
336,126
337,127
338,127
339,127
340,128
341,128
342,128
343,129
344,129
345,129
346,131
347,131
348,131
349,131
350,132
351,132
352,132
353,132
354,134
355,134
356,134
357,134
358,134
359,134
360,135
361,135
362,135
363,135
364,135
365,135
366,138
367,138
368,139
369,139
370,140
371,140
372,142
373,142
374,142
375,142
376,142
377,143
378,143
379,143
380,143
381,143
382,146
383,146
384,146
385,146
386,146
387,146
388,147
389,147
390,147
391,147
392,147
393,147
394,148
395,148
396,148
397,148
398,148
399,148
400,149
401,149
402,149
403,149
404,149
405,149
406,152
407,152
408,152
409,153
410,153
411,153
412,154
413,154
414,154
415,155
416,155
417,155
418,157
419,157
420,158
421,158
422,159
423,159
424,162
425,162
426,162
427,162
428,162
429,162
430,163
431,163
432,163
433,163
434,163
435,163
436,164
437,164
438,164
439,164
440,164
441,164
442,167
443,167
444,167
445,167
446,167
447,168
448,168
449,168
450,168
451,168
452,169
453,169
454,169
455,169
456,169
457,170
458,170
459,170
460,170
461,170
462,173
463,173
464,174
465,174
466,176
467,176
468,177
469,177
470,178
471,178
472,179
473,179
474,182
475,182
476,182
477,182
478,182
479,183
480,183
481,183
482,183
483,183
484,186
485,186
486,186
487,186
488,186
489,186
490,187
491,187
492,187
493,187
494,187
495,187
496,188
497,188
498,188
499,188
500,188
501,188
502,190
503,190
504,190
505,190
506,190
507,191
508,191
509,191
510,191
511,191
512,192
513,192
514,192
515,192
516,192
517,193
518,193
519,193
520,193
521,193
522,196
523,196
524,196
525,196
526,196
527,197
528,197
529,197
530,197
531,197
532,198
533,198
534,198
535,198
536,198
537,200
538,200
539,200
540,200
541,201
542,201
543,201
544,201
545,202
546,202
547,202
548,202
549,204
550,204
551,204
552,205
553,205
554,205
555,206
556,206
557,206
558,208
559,208
560,209
561,209
562,212
563,212
564,213
565,213
566,214
567,214
568,215
569,215
570,218
571,218
572,219
573,219
574,222
575,222
576,222
577,222
578,222
579,223
580,223
581,223
582,223
583,223
584,224
585,224
586,224
587,224
588,224
589,225
590,225
591,225
592,225
593,225
594,227
595,227
596,227
597,227
